id,color,image_path,logo_id
297e5339-4e63-483b-a88e-2f35f59c6779,Rot,/variants/red/mite-red.svg,00e6f81c-b06b-4390-a1a4-7062883e708b
01a8ae40-0f45-48dd-9df2-496071f32095,Rot,/variants/red/shark-jaws-red.svg,01a8ae40-0f45-48dd-9df2-496071f32095
0e1dc401-29cd-4949-94bf-f9b8833bfb51,Rot,/variants/red/tiger-head-red.svg,0e1dc401-29cd-4949-94bf-f9b8833bfb51
1036a5f4-3a7c-410e-b46f-82300b867603,Rot,/variants/red/whirlwind-red.svg,1036a5f4-3a7c-410e-b46f-82300b867603
3b7d96d7-29ee-42b1-abb1-ad5b1a4da69f,Rot,/variants/red/wolf-head-red.svg,3b7d96d7-29ee-42b1-abb1-ad5b1a4da69f
3d2289fb-042f-487c-a62d-989e0c08957f,Rot,/variants/red/bison-red.svg,3d2289fb-042f-487c-a62d-989e0c08957f
44e5f640-50c7-42df-8d39-fee97ecbbf1f,Rot,/variants/red/heartburn-red.svg,44e5f640-50c7-42df-8d39-fee97ecbbf1f
5327dfe6-1dca-4ee4-801c-72e1c6a6eb99,Rot,/variants/red/crowned-skull-red.svg,5327dfe6-1dca-4ee4-801c-72e1c6a6eb99
5d9e070b-28aa-4be9-b6a1-3b647a709124,Rot,/variants/red/desert-skull-red.svg,5d9e070b-28aa-4be9-b6a1-3b647a709124
5eb74ea0-8668-429e-981a-51f2d50d2fc0,Rot,/variants/red/closed-barbute-red.svg,5eb74ea0-8668-429e-981a-51f2d50d2fc0
61d4ec76-77df-4458-b694-e47e79d123d3,Rot,/variants/red/curly-wing-red.svg,61d4ec76-77df-4458-b694-e47e79d123d3
621316ea-a2d9-44c4-96fe-d9e80d0a7ba9,Rot,/variants/red/wyvern-red.svg,621316ea-a2d9-44c4-96fe-d9e80d0a7ba9
888c459b-6a27-4b1e-bf4a-460072f8a2ba,Rot,/variants/red/relic-blade-red.svg,888c459b-6a27-4b1e-bf4a-460072f8a2ba
8db73609-4a95-4b66-aaf0-6dbee2d24a68,Rot,/variants/red/dragon-head-red.svg,8db73609-4a95-4b66-aaf0-6dbee2d24a68
908a5d67-86db-40e3-a6e4-e55b205974f4,Rot,/variants/red/stone-tower-red.svg,908a5d67-86db-40e3-a6e4-e55b205974f4
b0ed5200-fccf-48c5-b14b-64c28250b518,Rot,/variants/red/small-fire-red.svg,b0ed5200-fccf-48c5-b14b-64c28250b518
d89129a6-6325-40e7-b074-398455aeee75,Rot,/variants/red/checked-shield-red.svg,d89129a6-6325-40e7-b074-398455aeee75
e208994e-90f7-4328-99a3-34e95f91dbe8,Rot,/variants/red/horse-head-red.svg,e208994e-90f7-4328-99a3-34e95f91dbe8
e6320a62-ef27-4744-a6a3-62d4dbf826cb,Rot,/variants/red/angel-outfit-red.svg,e6320a62-ef27-4744-a6a3-62d4dbf826cb
eed808b8-2bd2-4cd9-8100-5f4df404b909,Rot,/variants/red/bird-claw-red.svg,eed808b8-2bd2-4cd9-8100-5f4df404b909
f44e1be6-c12b-41a7-aef4-9bb9ebcd72f1,Blau,/variants/blue/mite-blue.svg,00e6f81c-b06b-4390-a1a4-7062883e708b
a5c8e27b-c0c1-43d1-ae16-7b0a0805c993,Blau,/variants/blue/shark-jaws-blue.svg,01a8ae40-0f45-48dd-9df2-496071f32095
b91f9415-43ca-4d56-bd57-27c7b0d5b2e9,Blau,/variants/blue/tiger-head-blue.svg,0e1dc401-29cd-4949-94bf-f9b8833bfb51
fe0a3e99-9357-46d1-b409-95168b7c028b,Blau,/variants/blue/whirlwind-blue.svg,1036a5f4-3a7c-410e-b46f-82300b867603
fa9a0c11-84a7-4fcb-8041-cfc8e32d317f,Blau,/variants/blue/wolf-head-blue.svg,3b7d96d7-29ee-42b1-abb1-ad5b1a4da69f
292d92ab-2444-42d3-bf75-e9b6993e5ab7,Blau,/variants/blue/bison-blue.svg,3d2289fb-042f-487c-a62d-989e0c08957f
b097d29c-0103-4b9b-a70c-dfd073e7c2ed,Blau,/variants/blue/heartburn-blue.svg,44e5f640-50c7-42df-8d39-fee97ecbbf1f
d5d03877-c379-4864-b8c0-8502ff745a59,Blau,/variants/blue/crowned-skull-blue.svg,5327dfe6-1dca-4ee4-801c-72e1c6a6eb99
4b9d9f1a-f968-47a1-b5b3-d0b964f3d0d2,Blau,/variants/blue/desert-skull-blue.svg,5d9e070b-28aa-4be9-b6a1-3b647a709124
b1b408fe-d5f3-4f5b-9490-6704362995a0,Blau,/variants/blue/closed-barbute-blue.svg,5eb74ea0-8668-429e-981a-51f2d50d2fc0
c6b9c46c-b877-4f39-8e1d-fd19f3b2b763,Blau,/variants/blue/curly-wing-blue.svg,61d4ec76-77df-4458-b694-e47e79d123d3
5f24a57d-cbe1-4112-bae7-b49aaf902c7e,Blau,/variants/blue/wyvern-blue.svg,621316ea-a2d9-44c4-96fe-d9e80d0a7ba9
b040e0c7-d678-4d6a-b105-fc144b5fa3b1,Blau,/variants/blue/relic-blade-blue.svg,888c459b-6a27-4b1e-bf4a-460072f8a2ba
48998b7c-8a70-41bb-bc9c-daa170472b94,Blau,/variants/blue/dragon-head-blue.svg,8db73609-4a95-4b66-aaf0-6dbee2d24a68
84a6e4b4-872d-4757-8c38-8693e0fc7c1b,Blau,/variants/blue/stone-tower-blue.svg,908a5d67-86db-40e3-a6e4-e55b205974f4
f39440d5-17bc-487b-9d9a-627edc698f0d,Blau,/variants/blue/small-fire-blue.svg,b0ed5200-fccf-48c5-b14b-64c28250b518
a8a80d12-df2d-466b-a4ac-019a76b14f84,Blau,/variants/blue/checked-shield-blue.svg,d89129a6-6325-40e7-b074-398455aeee75
5fa5cfd1-caf8-4c7f-8a18-2768e2788762,Blau,/variants/blue/horse-head-blue.svg,e208994e-90f7-4328-99a3-34e95f91dbe8
99c18d42-c0bc-4d07-9317-d3be23f17d78,Blau,/variants/blue/angel-outfit-blue.svg,e6320a62-ef27-4744-a6a3-62d4dbf826cb
cf302d1d-dedb-4793-9b1b-53522d70cc7b,Blau,/variants/blue/bird-claw-blue.svg,eed808b8-2bd2-4cd9-8100-5f4df404b909
76893b69-43ed-4bc3-b678-9072b818c5bc,Grün,/variants/green/mite-green.svg,00e6f81c-b06b-4390-a1a4-7062883e708b
